"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IFRD1",4.1658280399673e-113,0.261019004743832,0.474,0.297,8.1158661874643e-109,"0","IFRD1",0.177
"TUBA1A",1.14256591620567e-111,0.319905260957511,0.586,0.42,2.22594691795189e-107,"0","TUBA1A",0.166
"CHMP1B",6.23669753334423e-111,0.361151392129588,0.462,0.297,1.21503341344612e-106,"0","CHMP1B",0.165
"HNRNPH1",6.37439524705952e-111,0.287930545531097,0.857,0.776,1.24185968203213e-106,"0","HNRNPH1",0.081
"HSPA8",2.13408711779052e-110,0.257987584385528,0.942,0.887,4.1576285228795e-106,"0","HSPA8",0.0549999999999999
"CD55",5.77996398570327e-109,0.350172139200845,0.345,0.19,1.12605258369471e-104,"0","CD55",0.155
"HNRNPU",7.27556447336593e-108,0.348753324359477,0.888,0.84,1.41742547070115e-103,"0","HNRNPU",0.048
"SNHG12",1.15279938601301e-104,0.270720384964388,0.475,0.309,2.24588376383054e-100,"0","SNHG12",0.166
"HSPD1",2.7779803461641e-97,0.298543624176681,0.665,0.523,5.41206131039689e-93,"0","HSPD1",0.142
"ILF3-DT",1.39360867455896e-92,0.252307630081881,0.422,0.261,2.71502841977577e-88,"0","ILF3-DT",0.161
"SNHG8",1.37674644606537e-90,0.267180675397513,0.684,0.561,2.68217742622455e-86,"0","SNHG8",0.123
"GADD45G",1.18901375536916e-89,0.286481223020728,0.281,0.144,2.3164365982102e-85,"0","GADD45G",0.137
"SLC38A2",7.05391280760148e-89,0.252009148571209,0.783,0.651,1.37424329317692e-84,"0","SLC38A2",0.132
"SAT1",2.63295049628699e-87,0.275537979468106,0.772,0.644,5.1295141568663e-83,"0","SAT1",0.128
"AREG",4.93943777174082e-87,0.2924905938554,0.275,0.139,9.62301266690547e-83,"0","AREG",0.136
"NR4A2",5.59951036343537e-86,0.413329271933397,0.614,0.469,1.09089660900448e-81,"0","NR4A2",0.145
"NFKBIA",1.35184268355561e-85,0.26609017299437,0.695,0.553,2.63365991610304e-81,"0","NFKBIA",0.142
"ZFP36L1",4.97423338449194e-74,0.276481741808328,0.795,0.711,9.6908014796672e-70,"0","ZFP36L1",0.0840000000000001
"ZNF331",1.98345369486808e-64,0.428353177663835,0.473,0.36,3.864164488342e-60,"0","ZNF331",0.113
"ZC3HAV1",4.80975526505831e-64,0.303266193434025,0.58,0.48,9.37036520738659e-60,"0","ZC3HAV1",0.1
"FAM133B",6.42371668516208e-53,0.265634979866128,0.581,0.488,1.25146848460328e-48,"0","FAM133B",0.093
"CYCS",8.95716422563956e-47,0.291654755763531,0.532,0.44,1.7450347344391e-42,"0","CYCS",0.092
"GPR183",5.92648827858498e-46,0.283662828927416,0.312,0.211,1.15459844643393e-41,"0","GPR183",0.101
"ID2",7.71659019452115e-37,0.280813443568606,0.824,0.787,1.50334610169661e-32,"0","ID2",0.0369999999999999
"CCL4",0,1.27423798015152,0.744,0.282,0,"1","CCL4",0.462
"GZMK",0,0.790223744105381,0.71,0.344,0,"1","GZMK",0.366
"CCL5",0,0.748346772803353,0.991,0.716,0,"1","CCL5",0.275
"NKG7",0,0.632163044216264,0.892,0.387,0,"1","NKG7",0.505
"GZMA",0,0.610982612152904,0.878,0.464,0,"1","GZMA",0.414
"CST7",0,0.534795813834795,0.754,0.355,0,"1","CST7",0.399
"CD8A",1.66871180676014e-306,0.52747071037333,0.567,0.21,3.2509843419301e-302,"1","CD8A",0.357
"CCL4L2",1.71311053363112e-293,0.976812886353083,0.346,0.079,3.33748194162015e-289,"1","CCL4L2",0.267
"DTHD1",2.67288078530907e-278,0.385196505414732,0.398,0.108,5.20730634593913e-274,"1","DTHD1",0.29
"SLAMF7",2.66468377536101e-243,0.342189004417283,0.423,0.137,5.19133693115832e-239,"1","SLAMF7",0.286
"CMC1",8.30937308333843e-229,0.567302935839715,0.493,0.204,1.61883206409599e-224,"1","CMC1",0.289
"EOMES",9.52776157952993e-226,0.305034017831213,0.345,0.098,1.85619851092402e-221,"1","EOMES",0.247
"GZMH",6.43633565830097e-219,0.446147897370042,0.464,0.174,1.2539269129502e-214,"1","GZMH",0.29
"PLEK",1.24136950644171e-216,0.366090129019388,0.421,0.148,2.41843607244975e-212,"1","PLEK",0.273
"CCL3L1",1.52264061181728e-214,0.36617848949624,0.285,0.07,2.96640843994243e-210,"1","CCL3L1",0.215
"HLA-DPB1",9.93075949155777e-210,0.422034625714454,0.627,0.33,1.93471056414528e-205,"1","HLA-DPB1",0.297
"CD74",3.46395471275226e-206,0.470064786111982,0.782,0.505,6.74847657138395e-202,"1","CD74",0.277
"HLA-DPA1",3.12725519333638e-198,0.371847791872206,0.546,0.258,6.09251856765794e-194,"1","HLA-DPA1",0.288
"PTPRC",1.76544187644389e-195,0.331102640793016,0.995,0.968,3.43943386368799e-191,"1","PTPRC",0.027
"HLA-DQA1",4.84539349809494e-193,0.26727564326635,0.316,0.092,9.43979561298856e-189,"1","HLA-DQA1",0.224
"CRTAM",3.22824809861108e-192,0.354294552342413,0.341,0.108,6.28927294571411e-188,"1","CRTAM",0.233
"HLA-DRB1",3.23063265125342e-190,0.391672041891769,0.54,0.252,6.29391853117191e-186,"1","HLA-DRB1",0.288
"HLA-DRB5",7.16794916767415e-177,0.347359190002758,0.498,0.222,1.39645985684628e-172,"1","HLA-DRB5",0.276
"KLRG1",2.75864619092082e-176,0.383683646116752,0.428,0.179,5.37439450915194e-172,"1","KLRG1",0.249
"XCL2",1.81650039150717e-168,0.410628654043873,0.375,0.137,3.53890606273426e-164,"1","XCL2",0.238
"IL32",7.12823059607272e-164,0.325892276456288,0.978,0.884,1.38872188472689e-159,"1","IL32",0.094
"HCST",3.00621025255596e-163,0.358305786682544,0.873,0.697,5.85669881402951e-159,"1","HCST",0.176
"HLA-DRA",5.83177920425715e-163,0.345180527594858,0.419,0.17,1.13614722457338e-158,"1","HLA-DRA",0.249
"CD8B",2.93700766839008e-159,0.295807641466202,0.365,0.138,5.72187833955756e-155,"1","CD8B",0.227
"PYHIN1",5.85945072468387e-155,0.354092354095318,0.583,0.324,1.14153819018291e-150,"1","PYHIN1",0.259
"AOAH",9.37294545368517e-155,0.265791306435115,0.327,0.117,1.82603723328694e-150,"1","AOAH",0.21
"TRGC2",1.49105901379051e-153,0.326621506699198,0.473,0.22,2.90488117066667e-149,"1","TRGC2",0.253
"KLRD1",6.16889503196774e-152,0.444799796683404,0.444,0.199,1.20182413012796e-147,"1","KLRD1",0.245
"CCL3",1.37783536434524e-151,0.579905629342523,0.262,0.08,2.68429885681739e-147,"1","CCL3",0.182
"IFNG",1.7517807777934e-149,0.708311492339427,0.41,0.182,3.4128193112971e-145,"1","IFNG",0.228
"SH2D1A",2.21052235765798e-134,0.304135447922796,0.526,0.286,4.30653965718927e-130,"1","SH2D1A",0.24
"LYST",5.86150456220662e-128,0.317692447186291,0.493,0.26,1.14193831880909e-123,"1","LYST",0.233
"IKZF3",7.31345527114208e-124,0.328063031884957,0.652,0.435,1.4248073559239e-119,"1","IKZF3",0.217
"LCP1",1.63984286845895e-123,0.322212956214254,0.873,0.727,3.19474187633172e-119,"1","LCP1",0.146
"SAMD3",1.80829879362358e-121,0.29191516419041,0.52,0.288,3.52292770973745e-117,"1","SAMD3",0.232
"APOBEC3G",1.10721283357601e-91,0.26415616024568,0.504,0.305,2.15707204237278e-87,"1","APOBEC3G",0.199
"TRDC",3.80966647283354e-60,0.410150169689289,0.255,0.133,7.42199222237431e-56,"1","TRDC",0.122
"STK17A",1.92883324610453e-53,0.254816507400716,0.643,0.528,3.75775293006085e-49,"1","STK17A",0.115
"IL7R1",0,0.748890279000882,0.908,0.615,0,"2","IL7R",0.293
"S100A4",0,0.595557645727765,0.959,0.768,0,"2","S100A4",0.191
"LTB",1.06132980964539e-253,0.665504304366973,0.795,0.47,2.06768273515114e-249,"2","LTB",0.325
"RPLP1",8.64546370903984e-216,0.355235602283352,1,1,1.68430923979514e-211,"2","RPLP1",0
"TPT1",5.3197994785796e-192,0.290818908426312,1,1,1.03640333441688e-187,"2","TPT1",0
"RPS19",1.48743480861701e-154,0.300563857378299,1,0.999,2.89782049414765e-150,"2","RPS19",0.001
"CD52",2.83583480967524e-154,0.364731793296752,0.932,0.743,5.52477337620931e-150,"2","CD52",0.189
"RPS18",6.5699404714979e-153,0.278203562103857,1,0.999,1.27995580265722e-148,"2","RPS18",0.001
"RPL13",9.02281607913064e-151,0.277846501423718,1,1,1.75782502853623e-146,"2","RPL13",0
"RPL39",1.2821261363358e-145,0.265878304342448,1,0.999,2.4978381388094e-141,"2","RPL39",0.001
"RPL32",1.35846293418069e-136,0.26904884165097,1,0.998,2.64655748837082e-132,"2","RPL32",0.002
"RPL10",1.10566990294735e-134,0.271150813438037,1,0.999,2.15406610492202e-130,"2","RPL10",0.001
"RPL30",1.26229221157533e-132,0.265539106363679,0.999,0.999,2.45919768659106e-128,"2","RPL30",0
"RPL34",6.04145035516147e-132,0.255975290383171,0.999,0.998,1.17699535819256e-127,"2","RPL34",0.001
"RPL18A",4.50069766770729e-131,0.265132760667899,0.998,0.995,8.76825919622735e-127,"2","RPL18A",0.003
"RPS27A",1.41932997294479e-130,0.254664318448571,1,0.999,2.76513865329105e-126,"2","RPS27A",0.001
"S100A11",6.13714121182477e-127,0.337675021686681,0.655,0.389,1.1956378508877e-122,"2","S100A11",0.266
