"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"ARL4C",6.98753449441774e-10,0.389534066585621,0.562,0.527,1.36131147020246e-05,"3","ARL4C",0.035
"ARHGEF32",7.08785786500014e-10,0.532533718831437,0.219,0.164,1.38085646925933e-05,"3","ARHGEF3",0.055
"THEMIS2",7.33015256146629e-10,1.08745626268518,0.057,0.03,1.42806032202486e-05,"3","THEMIS2",0.027
"RPS291",7.48624964386725e-10,0.114473076591508,1,0.999,1.45847115561822e-05,"3","RPS29",0.001
"PICALM1",8.16241625302665e-10,0.518527399608628,0.212,0.156,1.59020193441465e-05,"3","PICALM",0.056
"CPD",9.55823360324778e-10,0.609642753868022,0.166,0.117,1.86213507058473e-05,"3","CPD",0.049
"SERPINB6",1.09524901174418e-09,0.617142399841195,0.187,0.135,2.13376412468001e-05,"3","SERPINB6",0.052
"PSME22",1.10041918639906e-09,0.341749239426723,0.456,0.393,2.14383665894265e-05,"3","PSME2",0.063
"DNAJC81",1.10496899098178e-09,0.377279986594809,0.371,0.309,2.15270058823071e-05,"3","DNAJC8",0.062
"TAOK31",1.19743112283133e-09,0.37370756294286,0.397,0.336,2.3328353135e-05,"3","TAOK3",0.061
"NPW",1.25932044962593e-09,2.30213371889362,0.013,0.003,2.45340809996123e-05,"3","NPW",0.01
"TFF1",1.27488314127043e-09,1.50942557280042,0.02,0.006,2.48372733582305e-05,"3","TFF1",0.014
"EIF5B",1.29273288579758e-09,0.358766210737966,0.442,0.386,2.51850220811084e-05,"3","EIF5B",0.056
"EVL2",1.38083118348521e-09,0.244202558749768,0.628,0.576,2.69013531166589e-05,"3","EVL",0.052
"PPIA",1.49420374827784e-09,0.190620755302246,0.857,0.837,2.91100774239488e-05,"3","PPIA",0.02
"PSMA71",1.53818383288843e-09,0.319002904898558,0.582,0.541,2.99668974323323e-05,"3","PSMA7",0.0409999999999999
"PDZD4",1.61294460031136e-09,1.10670834515745,0.05,0.025,3.1423386703266e-05,"3","PDZD4",0.025
"HMOX1",1.63299329148545e-09,1.48309699178838,0.019,0.006,3.18139753047196e-05,"3","HMOX1",0.013
"IL2RG1",1.7548687710491e-09,0.313909798379463,0.524,0.47,3.41883533975785e-05,"3","IL2RG",0.054
"RTF1",1.77422963379803e-09,0.390284628964914,0.356,0.295,3.45655417256531e-05,"3","RTF1",0.061
"PPP1CA2",1.82264271229183e-09,0.445659051780084,0.363,0.306,3.55087253208695e-05,"3","PPP1CA",0.057
"DIAPH12",1.87779998751673e-09,0.359278522888032,0.439,0.384,3.6583299356801e-05,"3","DIAPH1",0.055
"BZW11",1.99810502628428e-09,0.358537902381009,0.513,0.47,3.89270821220703e-05,"3","BZW1",0.043
"LDLR",2.10093112193818e-09,0.609159373737453,0.158,0.11,4.09303401175996e-05,"3","LDLR",0.048
