"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"DNAJB1",0,0.866311523249517,0.935,0.761,0,"0","DNAJB1",0.174
"FOS",0,1.18404183619542,0.919,0.746,0,"0","FOS",0.173
"FOSB",0,0.975031808532583,0.906,0.736,0,"0","FOSB",0.17
"JUN",0,1.17716803453706,0.947,0.803,0,"0","JUN",0.144
"JUNB",0,1.1533665024855,0.979,0.88,0,"0","JUNB",0.099
"HSP90AA1",0,0.874768136412845,0.996,0.989,0,"0","HSP90AA1",0.00700000000000001
"INTS6",3.91996275856862e-291,1.20414431865125,0.834,0.641,7.63687144624338e-287,"0","INTS6",0.193
"EGR1",4.29824833141481e-274,1.24323264562115,0.639,0.364,8.37384739926234e-270,"0","EGR1",0.275
"H3F3B",8.62362034225532e-264,0.598081225099885,0.995,0.983,1.68005371507818e-259,"0","H3F3B",0.012
"DUSP1",1.78270712677154e-244,1.03201125659799,0.753,0.527,3.47307002437632e-240,"0","DUSP1",0.226
"FUS",1.15040230872964e-243,0.821789913667618,0.928,0.827,2.24121377786709e-239,"0","FUS",0.101
"HEXIM1",1.28639653983458e-242,1.08044221677773,0.75,0.521,2.50615773890573e-238,"0","HEXIM1",0.229
"JUND",4.79610832622506e-239,0.649178192556517,0.978,0.91,9.34377824115165e-235,"0","JUND",0.0679999999999999
"MALAT1",2.81978471702526e-222,0.339199896097327,1,1,5.49350458570862e-218,"0","MALAT1",0
"UBE2S",4.89271550732345e-213,1.04392174429377,0.674,0.448,9.53198835136754e-209,"0","UBE2S",0.226
"BTG2",1.4885011487988e-207,0.915431544242531,0.801,0.606,2.89989793808981e-203,"0","BTG2",0.195
"DNAJA1",5.20055631477876e-206,0.898336747030237,0.88,0.747,1.0131723812452e-201,"0","DNAJA1",0.133
"NR4A1",2.84373107128481e-199,1.20376658701511,0.537,0.302,5.54015687307706e-195,"0","NR4A1",0.235
"HSPA1B",1.37156411191276e-193,0.804841696775399,0.844,0.66,2.67208120282844e-189,"0","HSPA1B",0.184
"SRSF7",1.20865429373985e-189,0.709964878674718,0.934,0.839,2.35470029506397e-185,"0","SRSF7",0.0950000000000001
"GADD45B",6.26825986037217e-185,0.852459792983056,0.827,0.662,1.22118238599771e-180,"0","GADD45B",0.165
"YME1L1",2.20523093764648e-184,1.10468717301104,0.7,0.52,4.29623091272288e-180,"0","YME1L1",0.18
"IER2",3.18045874087467e-182,0.661246524240925,0.932,0.833,6.19616971897203e-178,"0","IER2",0.0990000000000001
"DDX3Y",5.03092501880191e-181,1.17801322360167,0.486,0.256,9.80124812162988e-177,"0","DDX3Y",0.23
"HSP90AB1",1.46566330668804e-179,0.636847054179129,0.963,0.912,2.85540525408963e-175,"0","HSP90AB1",0.0509999999999999
"YPEL5",2.68476378511082e-176,1.27850840453103,0.622,0.428,5.23045680615289e-172,"0","YPEL5",0.194
"SRSF3",4.06558903218641e-169,0.792334326821862,0.809,0.679,7.92058055250556e-165,"0","SRSF3",0.13
"TUBB4B",3.15534663938336e-167,0.806761009108375,0.748,0.554,6.14724632284667e-163,"0","TUBB4B",0.194
"BRD2",8.78378186400827e-167,0.765978870473453,0.849,0.724,1.71125638274609e-162,"0","BRD2",0.125
"PPP1R15A",3.0128601363986e-165,0.798382613894982,0.711,0.504,5.86965411773175e-161,"0","PPP1R15A",0.207
"WDR74",1.6730396917863e-164,1.36006894238709,0.419,0.214,3.25941592753808e-160,"0","WDR74",0.205
"SERTAD1",1.9269642369146e-162,1.04951468703639,0.492,0.272,3.75411172635702e-158,"0","SERTAD1",0.22
"DDIT3",3.40786674494338e-161,1.55852606564708,0.347,0.155,6.63920599249869e-157,"0","DDIT3",0.192
"EIF5",2.30445434387847e-156,0.726391961756734,0.763,0.604,4.48953795274405e-152,"0","EIF5",0.159
"TOB1",7.00701895674062e-156,1.08778465951574,0.525,0.32,1.36510743315221e-151,"0","TOB1",0.205
"TSPYL2",8.79577954581523e-156,1.04523464659063,0.576,0.364,1.71359377111572e-151,"0","TSPYL2",0.212
"ZFAS1",3.95061985696766e-155,0.972446296693516,0.721,0.572,7.6965976053444e-151,"0","ZFAS1",0.149
"PLK2",6.74502326098169e-147,1.75947790509019,0.239,0.081,1.31406543170445e-142,"0","PLK2",0.158
"SOCS3",9.7058648798257e-147,1.27394683024645,0.382,0.189,1.89089659588764e-142,"0","SOCS3",0.193
"BTG1",3.91168726648336e-145,0.435335467004285,0.989,0.96,7.62074913256288e-141,"0","BTG1",0.029
"SAP18",1.12842570380997e-144,1.01177720930271,0.698,0.57,2.19839895616258e-140,"0","SAP18",0.128
"HSPH1",3.99833281586377e-144,0.802038898026207,0.645,0.453,7.7895519918658e-140,"0","HSPH1",0.192
"HSPA1A",7.13802348491867e-144,0.747031885339612,0.821,0.675,1.39062973533185e-139,"0","HSPA1A",0.146
"NABP1",7.19880397366468e-142,0.935470484386264,0.644,0.463,1.40247099014935e-137,"0","NABP1",0.181
"ZFP36",1.35798751139969e-141,0.712081763843406,0.773,0.612,2.64563126970887e-137,"0","ZFP36",0.161
"LEF1",1.39885970340175e-141,1.72115159923643,0.239,0.083,2.72525847416729e-137,"0","LEF1",0.156
"EIF4A3",3.39594969965418e-140,1.3046594035491,0.459,0.278,6.61598920486627e-136,"0","EIF4A3",0.181
"KCNQ1OT1",1.56589461130992e-138,1.22185217006382,0.472,0.28,3.05067588175399e-134,"0","KCNQ1OT1",0.192
"H2AFX",4.31092103292107e-137,0.997136294725293,0.487,0.29,8.39853635633682e-133,"0","H2AFX",0.197
"NEU1",1.1820584271747e-136,0.905430797885106,0.557,0.353,2.30288622782175e-132,"0","NEU1",0.204
"TRA2B",7.88098481507278e-136,0.710665762687292,0.751,0.597,1.53537346167248e-131,"0","TRA2B",0.154
"CITED2",3.36979196737989e-135,1.06374609141263,0.524,0.34,6.5650287108495e-131,"0","CITED2",0.184
"KLF2",2.85247171221806e-134,0.996386225685398,0.519,0.326,5.55718538974321e-130,"0","KLF2",0.193
"TCF7",1.84221611358281e-132,1.04906453578153,0.462,0.272,3.58900543248203e-128,"0","TCF7",0.19
"IL7R",3.48361246183224e-130,0.475626844697873,0.798,0.577,6.78677379814158e-126,"0","IL7R",0.221
"TUBB2A",6.12264462313353e-127,1.54178228169758,0.241,0.091,1.19281362547887e-122,"0","TUBB2A",0.15
"ID3",1.82482841443865e-125,1.36574587034078,0.31,0.143,3.55513071700939e-121,"0","ID3",0.167
"EIF1",4.82233770468339e-125,0.364666204377277,0.997,0.993,9.39487831626417e-121,"0","EIF1",0.004
"UBB",7.96226379107365e-123,0.516470493952511,0.939,0.883,1.55120823177697e-118,"0","UBB",0.0559999999999999
"CCR7",1.4800136524919e-121,1.5830695704834,0.229,0.086,2.88336259778472e-117,"0","CCR7",0.143
"PPP1R10",1.14056080676835e-120,0.63351630215907,0.812,0.666,2.22204056374609e-116,"0","PPP1R10",0.146
"MYADM",1.51065335043169e-120,0.97610071638467,0.515,0.335,2.94305485731101e-116,"0","MYADM",0.18
"KDM6B",6.73249621871309e-120,0.923422083954351,0.495,0.309,1.31162491332968e-115,"0","KDM6B",0.186
"AL121944.1",9.40311918420637e-120,1.34402918038338,0.294,0.134,1.83191567946709e-115,"0","AL121944.1",0.16
"SLC2A3",3.01067713164066e-118,0.974740181001705,0.625,0.461,5.86540118786234e-114,"0","SLC2A3",0.164
"DDIT4",7.03892914203016e-118,0.844400584032096,0.634,0.472,1.37132417545032e-113,"0","DDIT4",0.162
"ZBTB10",1.33758810669029e-116,1.95718494541412,0.212,0.079,2.60588914945402e-112,"0","ZBTB10",0.133
"SCML1",2.60501305567243e-116,2.12351526848017,0.153,0.041,5.07508643506103e-112,"0","SCML1",0.112
"HSPE1",7.89061793665073e-114,0.488353292297759,0.832,0.698,1.5372501864183e-109,"0","HSPE1",0.134
"IFRD1",4.1658280399673e-113,0.919875183279837,0.474,0.297,8.1158661874643e-109,"0","IFRD1",0.177
"TUBA1A",1.14256591620567e-111,0.841537393108578,0.586,0.42,2.22594691795189e-107,"0","TUBA1A",0.166
"CHMP1B",6.23669753334423e-111,1.18281142035229,0.462,0.297,1.21503341344612e-106,"0","CHMP1B",0.165
"HNRNPH1",6.37439524705952e-111,0.591448452491023,0.857,0.776,1.24185968203213e-106,"0","HNRNPH1",0.081
"HSPA8",2.13408711779052e-110,0.468112281902728,0.942,0.887,4.1576285228795e-106,"0","HSPA8",0.0549999999999999
"CD55",5.77996398570327e-109,1.53500635589032,0.345,0.19,1.12605258369471e-104,"0","CD55",0.155
"HNRNPU",7.27556447336593e-108,0.66592112610724,0.888,0.84,1.41742547070115e-103,"0","HNRNPU",0.048
"PLK3",3.27273068963304e-106,1.09997824282182,0.367,0.204,6.37593392954308e-102,"0","PLK3",0.163
"NXF1",4.39979429743166e-105,1.07057843236769,0.377,0.213,8.57167925025637e-101,"0","NXF1",0.164
"GSTM3",8.11451676336876e-105,1.74987155356999,0.173,0.058,1.5808701558395e-100,"0","GSTM3",0.115
"IRS2",9.16600008798768e-105,1.35475205874532,0.243,0.104,1.78572013714176e-100,"0","IRS2",0.139
"SNHG12",1.15279938601301e-104,0.953057894074113,0.475,0.309,2.24588376383054e-100,"0","SNHG12",0.166
"SGK1",1.38164237362068e-102,1.31164775326333,0.253,0.112,2.69171567228781e-98,"0","SGK1",0.141
"GADD45A",5.06055483484962e-102,1.05019239987239,0.361,0.199,9.85897292925402e-98,"0","GADD45A",0.162
"SNAI1",9.8394437891985e-101,1.58968410297286,0.194,0.072,1.91692043901165e-96,"0","SNAI1",0.122
"CCNL1",1.41609780757651e-100,0.574296330066104,0.744,0.607,2.75884174872056e-96,"0","CCNL1",0.137
"PIK3IP1",1.00106165179966e-99,0.821063057298328,0.471,0.301,1.9502683100361e-95,"0","PIK3IP1",0.17
"SRSF2",2.32998847830086e-99,0.520580743631367,0.799,0.672,4.53928355342574e-95,"0","SRSF2",0.127
"TRABD2A",1.55178301641482e-97,1.54566391471003,0.19,0.071,3.02318367257934e-93,"0","TRABD2A",0.119
"EGR3",2.00702521949008e-97,1.26128118704803,0.225,0.095,3.91008653261056e-93,"0","EGR3",0.13
"MARCKSL1",2.28633033203012e-97,1.1161147077279,0.308,0.159,4.45422875286107e-93,"0","MARCKSL1",0.149
"HSPD1",2.7779803461641e-97,0.667232777363583,0.665,0.523,5.41206131039689e-93,"0","HSPD1",0.142
"ZFP36L2",9.98780605542662e-95,0.41980541155927,0.931,0.858,1.94582437571821e-90,"0","ZFP36L2",0.0730000000000001
"ILF3-DT",1.39360867455896e-92,0.926196733127708,0.422,0.261,2.71502841977577e-88,"0","ILF3-DT",0.161
"RSRP1",2.1367495780519e-92,0.46011434314108,0.883,0.793,4.1628155279607e-88,"0","RSRP1",0.09
"MYLIP",2.28125585466772e-92,0.982903900983571,0.375,0.222,4.44434265606365e-88,"0","MYLIP",0.153
"POLG2",1.16426451156838e-90,1.21593090270156,0.288,0.15,2.26822012143751e-86,"0","POLG2",0.138
"SNHG8",1.37674644606537e-90,0.653612884880433,0.684,0.561,2.68217742622455e-86,"0","SNHG8",0.123
"IER5",1.73322294623325e-90,0.663610609679445,0.569,0.407,3.37666494385161e-86,"0","IER5",0.162
"GADD45G",1.18901375536916e-89,1.26194169790995,0.281,0.144,2.3164365982102e-85,"0","GADD45G",0.137
"RPL9",2.9576141456703e-89,0.284576113157442,0.998,0.996,5.76202387859489e-85,"0","RPL9",0.002
"SLC38A2",7.05391280760148e-89,0.548976201355777,0.783,0.651,1.37424329317692e-84,"0","SLC38A2",0.132
"IER5L",8.88522176218156e-88,0.953809606900417,0.372,0.218,1.73101890370821e-83,"0","IER5L",0.154
"PER1",2.53377149047223e-87,1.09398523910304,0.274,0.137,4.936293617738e-83,"0","PER1",0.137
"SAT1",2.63295049628699e-87,0.559659083186395,0.772,0.644,5.1295141568663e-83,"0","SAT1",0.128
"AREG",4.93943777174082e-87,1.15430347049601,0.275,0.139,9.62301266690547e-83,"0","AREG",0.136
"AP001160.1",4.38499952204257e-86,0.918010912931434,0.337,0.189,8.54285606884333e-82,"0","AP001160.1",0.148
"NR4A2",5.59951036343537e-86,0.863522643277044,0.614,0.469,1.09089660900448e-81,"0","NR4A2",0.145
"CDKN1C",8.65642678183259e-86,1.33511337440633,0.213,0.094,1.68644506563663e-81,"0","CDKN1C",0.119
"NFKBIA",1.35184268355561e-85,0.561978120081915,0.695,0.553,2.63365991610304e-81,"0","NFKBIA",0.142
"EIF4A2",3.25557549334138e-85,0.507255515034034,0.805,0.7,6.34251217612768e-81,"0","EIF4A2",0.105
"CHD2",2.36161852295649e-84,0.699033000872832,0.579,0.435,4.60090520642382e-80,"0","CHD2",0.144
"ARRDC3",2.84346832436999e-83,0.856121917487828,0.405,0.254,5.53964498953762e-79,"0","ARRDC3",0.151
"SARAF",3.1463760648667e-82,0.551012141576524,0.745,0.636,6.12976984957331e-78,"0","SARAF",0.109
"HERPUD1",9.56641089368528e-80,0.731770090458075,0.518,0.374,1.86372817030777e-75,"0","HERPUD1",0.144
"EIF4A1",2.72935841773263e-76,0.658728353913771,0.546,0.403,5.31733606942671e-72,"0","EIF4A1",0.143
"BCL11B",4.16310467792448e-75,0.78551926942166,0.518,0.389,8.11056053353247e-71,"0","BCL11B",0.129
"C12orf65",6.45775661765607e-75,1.06987339741743,0.311,0.182,1.25810014425176e-70,"0","C12orf65",0.129
"IGHA1",9.86071721375834e-75,2.37362306802844,0.076,0.014,1.9210649275844e-70,"0","IGHA1",0.062
"SOCS1",3.5767997020801e-74,0.792222918801351,0.414,0.269,6.96832117959246e-70,"0","SOCS1",0.145
"ZFP36L1",4.97423338449194e-74,0.549295730468751,0.795,0.711,9.69080147966719e-70,"0","ZFP36L1",0.0840000000000001
"MT-ND1",5.68631405737368e-74,0.261366312206496,0.999,0.997,1.10780770465754e-69,"0","MT-ND1",0.002
"ABHD5",1.05155678505198e-73,1.0259776190854,0.288,0.16,2.04864292863827e-69,"0","ABHD5",0.128
"SRSF5",1.85619648030997e-73,0.471986328022713,0.793,0.694,3.61624198293988e-69,"0","SRSF5",0.0990000000000001
"FOXP1",1.01551612323889e-72,0.738713573286551,0.508,0.375,1.97842851129401e-68,"0","FOXP1",0.133
"HSPA2",8.69824330118509e-72,1.23645450048899,0.226,0.114,1.69459175993688e-67,"0","HSPA2",0.112
"MTRNR2L12",1.8563023408599e-70,0.390640956927145,0.973,0.949,3.61644822046325e-66,"0","MTRNR2L12",0.024
"CXCR4",2.98687658198153e-70,0.474969315670701,0.693,0.539,5.81903295701641e-66,"0","CXCR4",0.154
"AMD1",7.51186481225912e-70,0.523420377723089,0.681,0.557,1.46346150272432e-65,"0","AMD1",0.124
"SC5D",1.88082602546556e-69,1.3026741920647,0.2,0.095,3.66422526281201e-65,"0","SC5D",0.105
"ATF4",1.72510663251619e-68,0.589111246711746,0.579,0.447,3.36085274146804e-64,"0","ATF4",0.132
"ARL4D",2.97202023457485e-67,1.26259742495053,0.198,0.095,5.79008982099872e-63,"0","ARL4D",0.103
"C6orf48",4.33288728713721e-67,0.725379464627803,0.43,0.295,8.44133101280071e-63,"0","C6orf48",0.135
"DNAJB9",3.72521892157506e-66,1.01089549129366,0.273,0.155,7.25747150301253e-62,"0","DNAJB9",0.118
"RPL3",5.09105853149388e-66,0.231517506162009,0.997,0.995,9.91840023105638e-62,"0","RPL3",0.002
"RPS3A",8.21258163575755e-66,0.285692231736224,0.998,0.997,1.59997515427829e-61,"0","RPS3A",0.001
"SFPQ",1.0814382805742e-65,0.519106679838931,0.751,0.642,2.10685805821466e-61,"0","SFPQ",0.109
"SDR42E2",2.70885628345343e-65,1.03295412058603,0.23,0.12,5.27739381142398e-61,"0","SDR42E2",0.11
"TLE4",3.52493447226306e-65,0.613357537405927,0.578,0.444,6.86727733886289e-61,"0","TLE4",0.134
"TNFRSF10D",5.75788504719349e-65,2.22726319331799,0.074,0.016,1.12175116489424e-60,"0","TNFRSF10D",0.058
"ZNF331",1.98345369486808e-64,1.07449706115978,0.473,0.36,3.864164488342e-60,"0","ZNF331",0.113
"MT-ND2",4.76862723113455e-64,0.24212120558215,0.998,0.997,9.29023957169633e-60,"0","MT-ND2",0.001
"ZC3HAV1",4.80975526505831e-64,0.799817788360959,0.58,0.48,9.37036520738659e-60,"0","ZC3HAV1",0.1
"EEF1B2",1.30741068266396e-63,0.319370989374578,0.951,0.917,2.54709749196592e-59,"0","EEF1B2",0.0339999999999999
"ARRDC2",4.64456571102892e-63,1.19279689555044,0.201,0.1,9.04854291822654e-59,"0","ARRDC2",0.101
"IL6ST",1.00679721691598e-62,0.870629028591081,0.295,0.174,1.96144233799571e-58,"0","IL6ST",0.121
"PPP1R15B",1.40063502816384e-61,0.817351755469297,0.391,0.265,2.72871716186878e-57,"0","PPP1R15B",0.126
"MIDN",1.49774905641147e-59,0.600618104318211,0.531,0.405,2.91791471170082e-55,"0","MIDN",0.126
"AC013394.1",4.40999250568742e-59,1.02509695270362,0.226,0.122,8.59154739958023e-55,"0","AC013394.1",0.104
"PNRC1",5.57162635103906e-59,0.334455921226797,0.894,0.839,1.08546424570943e-54,"0","PNRC1",0.055
"ING1",3.46885022249013e-58,0.938782929090698,0.249,0.14,6.75801400345526e-54,"0","ING1",0.109
"TPT1",3.81972489266291e-58,0.166742722817566,1,1,7.44158803588588e-54,"0","TPT1",0
"RPL21",1.50084284529015e-56,0.260203338412941,0.999,0.999,2.92394203119427e-52,"0","RPL21",0
"RPS12",4.76941193258737e-56,0.189253831906286,1,0.999,9.29176832706671e-52,"0","RPS12",0.001
"TUBA4A",5.25689707655231e-56,0.627098769916381,0.508,0.389,1.02414868845392e-51,"0","TUBA4A",0.119
"MRPL18",5.55391308542338e-56,0.746243422944437,0.345,0.226,1.08201334730218e-51,"0","MRPL18",0.119
"ZNF10",6.21517200229067e-56,1.34590768981661,0.135,0.057,1.21083980948627e-51,"0","ZNF10",0.078
"NUFIP2",7.35786153045714e-56,0.579048312204066,0.592,0.481,1.43345858336366e-51,"0","NUFIP2",0.111
"PABPC1",8.11497643142715e-56,0.32262103586159,0.965,0.946,1.58095970837064e-51,"0","PABPC1",0.019
"ERO1B",2.03413025326715e-55,0.903443825544588,0.293,0.182,3.96289255941506e-51,"0","ERO1B",0.111
"LYPD3",1.3876847453364e-54,2.99519776564197,0.045,0.006,2.70348742086438e-50,"0","LYPD3",0.039
"ERF",1.53332077984218e-54,0.97413534445949,0.219,0.12,2.98721554328854e-50,"0","ERF",0.099
"C6orf62",1.95521775914417e-54,0.580152609541765,0.564,0.453,3.80915523836467e-50,"0","C6orf62",0.111
"ACTN1",1.01409297271764e-53,1.52697324886413,0.098,0.034,1.97565592944851e-49,"0","ACTN1",0.064
"FAM133B",6.42371668516208e-53,0.693282684431536,0.581,0.488,1.25146848460328e-48,"0","FAM133B",0.093
"SERINC5",9.81682199197637e-53,1.04457676422072,0.178,0.089,1.91251326047684e-48,"0","SERINC5",0.089
"RPL36A",1.61081977365477e-52,0.361202405525633,0.755,0.657,3.13819908303422e-48,"0","RPL36A",0.098
"SNHG15",1.78663804968857e-52,0.911632348180135,0.298,0.19,3.48072824840328e-48,"0","SNHG15",0.108
"DDX3X",2.8218740937249e-52,0.374077847398125,0.82,0.724,5.49757510939484e-48,"0","DDX3X",0.096
"CAMK4",3.41472343744709e-52,0.682335354399092,0.351,0.234,6.65256420083441e-48,"0","CAMK4",0.117
"BCAS2",1.00578797287847e-51,1.00443528522243,0.331,0.223,1.95947612876184e-47,"0","BCAS2",0.108
"AC026979.2",1.02819169815012e-51,0.840605705885492,0.26,0.155,2.00312306633607e-47,"0","AC026979.2",0.105
"UBC",1.54860084341087e-51,0.280852592973393,0.973,0.954,3.01698416313305e-47,"0","UBC",0.019
"RASD1",2.03975238344623e-51,1.19715991330887,0.17,0.084,3.97384559342995e-47,"0","RASD1",0.086
"H2AFZ",6.32545867655014e-51,0.459390646869974,0.713,0.623,1.2323258593655e-46,"0","H2AFZ",0.09
"RPL30",7.68445673723937e-51,0.17391205850008,0.999,0.998,1.49708586154897e-46,"0","RPL30",0.001
"ZFAND5",2.03840984301716e-50,0.542281189878754,0.511,0.392,3.97123005616604e-46,"0","ZFAND5",0.119
"RPS6",2.80339047910264e-50,0.241178322260444,0.998,0.996,5.46156533138776e-46,"0","RPS6",0.002
"RPS20",2.9105327218896e-50,0.209481657077854,0.993,0.99,5.67029984878533e-46,"0","RPS20",0.003
"TUBA1B",3.41964963149828e-50,0.280469040051867,0.651,0.538,6.66216141208494e-46,"0","TUBA1B",0.113
"SF1",4.65794373131199e-50,0.506559661150467,0.589,0.483,9.07460597734201e-46,"0","SF1",0.106
"RNF139",9.1013503575646e-50,0.999609348130954,0.247,0.149,1.77312507666074e-45,"0","RNF139",0.098
"TSC22D3",1.13142030778938e-49,0.501825833265047,0.644,0.546,2.20423304363527e-45,"0","TSC22D3",0.098
"C3orf58",1.26865710489631e-49,1.07131184227418,0.174,0.089,2.47159777175899e-45,"0","C3orf58",0.085
"PCF11",1.34221780223518e-49,0.607026500430162,0.49,0.375,2.61490872231457e-45,"0","PCF11",0.115
"RPS4Y1",1.52595763737631e-49,0.393669360574773,0.586,0.45,2.97287066913654e-45,"0","RPS4Y1",0.136
"RPL38",1.61572938685079e-49,0.206521015029578,0.996,0.993,3.14776399146272e-45,"0","RPL38",0.003
"BACH2",1.88876109165586e-49,1.2394522601774,0.127,0.055,3.67968435876396e-45,"0","BACH2",0.072
"RPS25",2.58464050142018e-49,0.176336104711339,0.998,0.994,5.03539662486679e-45,"0","RPS25",0.004
"RPL13",2.94807670809994e-49,0.141920030222617,1,1,5.7434430427203e-45,"0","RPL13",0
"ANKRD37",3.56918766032403e-49,0.788951023326158,0.256,0.153,6.95349139984327e-45,"0","ANKRD37",0.103
"RPL13A",3.64711419814805e-49,0.166113971785277,0.998,0.999,7.10530788083203e-45,"0","RPL13A",-0.001
"IL23A",3.76333979133831e-49,1.48130881592453,0.108,0.043,7.3317385814853e-45,"0","IL23A",0.065
"TCP1",3.90413355870267e-49,0.510272427058749,0.494,0.373,7.60603299906453e-45,"0","TCP1",0.121
"ID1",5.26210714821515e-49,0.89774684222056,0.173,0.088,1.02516371461527e-44,"0","ID1",0.085
"SBDS",5.95434497341708e-49,0.689653894909667,0.391,0.279,1.16002548772112e-44,"0","SBDS",0.112
"TSC22D2",6.492197346551e-49,0.879710334126425,0.289,0.186,1.26480988705506e-44,"0","TSC22D2",0.103
"NOP53",1.0291991684625e-48,0.373552800200469,0.682,0.57,2.00508581999865e-44,"0","NOP53",0.112
"CKS2",2.36728173249242e-48,0.784207317278793,0.292,0.187,4.61193827124174e-44,"0","CKS2",0.105
"DEDD2",6.64678241091825e-48,0.724146617664393,0.29,0.185,1.29492614929509e-43,"0","DEDD2",0.105
"MZF1-AS1",1.01590498210936e-47,1.01528738792689,0.208,0.118,1.97918608614546e-43,"0","MZF1-AS1",0.09
"POLR2A",1.02469314027431e-47,0.595615010074812,0.484,0.369,1.99630717588241e-43,"0","POLR2A",0.115
"HOOK2",4.36089267603773e-47,1.23699642930224,0.143,0.068,8.49589111145671e-43,"0","HOOK2",0.075
"NRARP",4.45443260555478e-47,1.2143241376105,0.125,0.055,8.67812560214181e-43,"0","NRARP",0.07
"CYCS",8.95716422563956e-47,0.82794487389844,0.532,0.44,1.7450347344391e-42,"0","CYCS",0.092
"CSKMT",9.85100612139769e-47,0.801173893088499,0.351,0.247,1.9191730125707e-42,"0","CSKMT",0.104
"GLA",1.04464790126134e-46,1.13927742101069,0.141,0.067,2.03518304123733e-42,"0","GLA",0.074
"SNHG7",2.15737611605626e-46,0.729620476751854,0.3,0.195,4.20300014930081e-42,"0","SNHG7",0.105
"GNL1",2.6168652370589e-46,0.765764419744188,0.288,0.185,5.09817685483816e-42,"0","GNL1",0.103
"RPL34",4.01309073746053e-46,0.179353082307269,0.999,0.998,7.8183033747206e-42,"0","RPL34",0.001
"HNRNPA2B1",4.93701297370239e-46,0.353413891989089,0.97,0.959,9.618288675367e-42,"0","HNRNPA2B1",0.011
"GPR183",5.92648827858498e-46,1.09302299288635,0.312,0.211,1.15459844643393e-41,"0","GPR183",0.101
"GRASP",1.27024425051189e-45,1.41713971343343,0.092,0.034,2.47468984884726e-41,"0","GRASP",0.058
"C9orf72",1.65738496199379e-45,1.34431443174095,0.114,0.049,3.22891738295631e-41,"0","C9orf72",0.065
"AL137077.2",6.76849285041862e-45,1.26070015288582,0.152,0.077,1.31863777711856e-40,"0","AL137077.2",0.075
"TRIM72",7.14641674593315e-45,2.0757838591965,0.062,0.017,1.3922649104427e-40,"0","TRIM72",0.045
"CCNH",1.31514326663574e-44,0.650605414042256,0.39,0.283,2.56216211205975e-40,"0","CCNH",0.107
"CHORDC1",3.12813733160046e-44,0.629213308968399,0.442,0.335,6.09423714942401e-40,"0","CHORDC1",0.107
"RPS3",4.07603769835814e-44,0.164212042332596,0.998,0.997,7.94093664394133e-40,"0","RPS3",0.001
"HBP1",4.96022854076833e-44,0.709603315940903,0.324,0.221,9.66351724312486e-40,"0","HBP1",0.103
"IER3",5.07113186299856e-44,0.656010349307187,0.318,0.213,9.8795790954938e-40,"0","IER3",0.105
"AC020911.2",7.21691977722273e-44,1.00312913767738,0.174,0.094,1.40600031099853e-39,"0","AC020911.2",0.08
"RPL32",1.47092420808789e-43,0.169310659339901,0.999,0.998,2.86565454219683e-39,"0","RPL32",0.001
"GGCX",2.09335067244669e-43,0.700919972231787,0.285,0.185,4.07826578006065e-39,"0","GGCX",0.1
"SIRT1",3.80718992483734e-43,0.886584616582272,0.215,0.127,7.4171674115681e-39,"0","SIRT1",0.088
"STAT3",5.89327856583418e-43,0.479175765016385,0.573,0.474,1.14812853019582e-38,"0","STAT3",0.099
"MED29",5.99418890219941e-43,0.702445701191869,0.326,0.223,1.16778788192649e-38,"0","MED29",0.103
"PDE3B",1.5721755041082e-42,0.629375133454061,0.336,0.231,3.06291231710359e-38,"0","PDE3B",0.105
"IL6R",1.73932006012591e-42,1.27900816474798,0.101,0.041,3.38854334113731e-38,"0","IL6R",0.06
"SLC16A10",1.81388543291327e-42,2.18353562298802,0.052,0.012,3.53381160040164e-38,"0","SLC16A10",0.04
"BCL6",2.02102127596669e-42,0.819931060190583,0.224,0.134,3.9373536498383e-38,"0","BCL6",0.09
"DDX5",3.8822532224437e-42,0.191250096603481,0.992,0.983,7.56340572796481e-38,"0","DDX5",0.00900000000000001
"ARL5B",5.71717732272767e-42,0.943923932444374,0.23,0.142,1.1138204860138e-37,"0","ARL5B",0.088
"FHIT",2.43264957285779e-41,1.81243260620026,0.061,0.018,4.73928789784154e-37,"0","FHIT",0.043
"NAF1",2.56631954841594e-41,1.14609689329721,0.174,0.097,4.99970374422393e-37,"0","NAF1",0.077
"RPL23",4.71151209954436e-41,0.240785502171834,0.98,0.965,9.17896787233232e-37,"0","RPL23",0.015
"PHYH",5.32090872716336e-41,0.698501509953234,0.268,0.172,1.03661943822597e-36,"0","PHYH",0.096
"AIF1",5.37521060079619e-41,1.28713660221248,0.096,0.039,1.04719852924711e-36,"0","AIF1",0.057
"AC025164.1",1.40288680768674e-40,0.693589682459655,0.309,0.209,2.73310407873531e-36,"0","AC025164.1",0.1
"ERRFI1",1.44022825953147e-40,1.26160674304239,0.093,0.038,2.80585269521921e-36,"0","ERRFI1",0.055
"BAG3",1.77911293721226e-40,0.785487373358249,0.166,0.089,3.46606782427693e-36,"0","BAG3",0.077
"COQ7",4.95694148484097e-40,0.712477640826306,0.265,0.171,9.65711340076718e-36,"0","COQ7",0.094
"ATP1A1",5.39701086760332e-40,0.574599922404636,0.429,0.328,1.05144565722648e-35,"0","ATP1A1",0.101
