"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IFRD1",4.63458266811276e-70,1.13493380979833,0.445,0.405,1.1375119700616e-65,"1","IFRD1",0.04
"EGR1",1.08285479441292e-69,0.877539038598725,0.553,0.508,2.65775880740707e-65,"1","EGR1",0.045
"TLE3",2.78812537634281e-69,0.962862048407095,0.312,0.217,6.84317492369578e-65,"1","TLE3",0.095
"DNTTIP2",3.37816831713948e-69,1.09787627552062,0.387,0.32,8.29137631758715e-65,"1","DNTTIP2",0.067
"MAFF",8.46378662754605e-69,1.08589977073686,0.296,0.199,2.0773517898649e-64,"1","MAFF",0.097
"CLEC2B",1.24669064184012e-68,0.995837641691201,0.436,0.378,3.0598775113324e-64,"1","CLEC2B",0.058
"CCNL1",1.02498606218663e-67,0.741220412860999,0.595,0.687,2.51572579103085e-63,"1","CCNL1",-0.0920000000000001
"GNAI3",2.68941425939964e-65,1.07837128243557,0.386,0.326,6.60089835827049e-61,"1","GNAI3",0.06
"HSD17B11",1.98751185164353e-64,0.951632023829259,0.271,0.177,4.87814908867389e-60,"1","HSD17B11",0.094
"SKAP2",7.58775850390253e-63,1.01294564255444,0.318,0.232,1.86233944719784e-58,"1","SKAP2",0.086
"LYST",6.70099722049693e-60,0.829994324147169,0.391,0.318,1.64469275779877e-55,"1","LYST",0.073
"CARD16",2.33599767199356e-59,0.98069592122153,0.319,0.235,5.733472686141e-55,"1","CARD16",0.084
"TNFRSF1B",9.25027234841432e-59,0.813595943830194,0.397,0.328,2.27038684519481e-54,"1","TNFRSF1B",0.069
"SPAG9",2.07968585404724e-58,0.992255944637416,0.358,0.294,5.10438096017356e-54,"1","SPAG9",0.064
"ATP6V0B",1.96497754319859e-57,0.895723151263733,0.349,0.281,4.82284088202663e-53,"1","ATP6V0B",0.0679999999999999
"QKI",3.22160732340678e-56,0.890312142464907,0.323,0.245,7.90711301456959e-52,"1","QKI",0.078
"ISG15",1.50869766322955e-52,0.581624451260074,0.169,0.374,3.70294754463062e-48,"1","ISG15",-0.205
"XAF1",3.1749551378907e-52,0.252982291472482,0.141,0.328,7.79260989043892e-48,"1","XAF1",-0.187
"PPP1R15B",8.14605271528735e-51,0.953879519618194,0.411,0.384,1.99936717844013e-46,"1","PPP1R15B",0.027
"CDC42EP3",8.82253742991791e-51,1.03055664059189,0.299,0.223,2.16540358679905e-46,"1","CDC42EP3",0.076
"ATP2B1",4.84814501100295e-50,0.972126858685329,0.382,0.338,1.18992871150056e-45,"1","ATP2B1",0.044
"DAZAP2",7.76925699952263e-50,0.80500875974275,0.47,0.497,1.90688643796284e-45,"1","DAZAP2",-0.027
"CD69",1.93415463566579e-48,0.311983017102413,0.249,0.479,4.74718913777812e-44,"1","CD69",-0.23
"IRF2BP2",5.46074591225427e-47,0.281133323626852,0.176,0.379,1.34028547670369e-42,"1","IRF2BP2",-0.203
"TALDO1",1.73767393482223e-46,0.874219159936165,0.296,0.227,4.26494690562768e-42,"1","TALDO1",0.069
"YPEL3",3.39487887758137e-46,0.911246251803298,0.323,0.263,8.33239071713572e-42,"1","YPEL3",0.06
"CXCR4",4.82530496712933e-46,0.564404747207098,0.305,0.575,1.18432285113222e-41,"1","CXCR4",-0.27
"PNPLA8",4.2105536710011e-45,0.965640630380695,0.325,0.27,1.03343829301051e-40,"1","PNPLA8",0.055
"CD46",4.53992939931702e-44,0.915758648925173,0.385,0.361,1.11428027176837e-39,"1","CD46",0.024
"TMEM123",3.14406587359128e-43,0.331945220847397,0.191,0.399,7.71679528014244e-39,"1","TMEM123",-0.208
"GBP2",3.60873091547843e-43,0.925591263816485,0.381,0.348,8.85726915895025e-39,"1","GBP2",0.033
"RAB21",1.7934575514471e-42,0.927320332361055,0.366,0.334,4.40186221427176e-38,"1","RAB21",0.032
"MAP1LC3B",8.14771323267288e-42,0.854822977844849,0.446,0.473,1.99977473582723e-37,"1","MAP1LC3B",-0.027
"NCOA4",1.40563921064108e-40,0.890369635427513,0.254,0.186,3.45000087859746e-36,"1","NCOA4",0.068
"PREX1",1.0038085310051e-39,0.757972943496859,0.351,0.305,2.46374765849892e-35,"1","PREX1",0.046
"ASAP1",1.4420620679375e-39,0.844143262806461,0.27,0.204,3.5393971395458e-35,"1","ASAP1",0.066
"ICAM3",2.83875027960121e-39,0.858434283330727,0.357,0.328,6.96742868625321e-35,"1","ICAM3",0.029
"GPCPD1",7.93171916224647e-39,0.961457280248801,0.296,0.239,1.94676115118177e-34,"1","GPCPD1",0.057
"NR4A3",1.02765738820771e-38,0.861842217363546,0.282,0.211,2.52228229361701e-34,"1","NR4A3",0.071
"ECHDC1",5.14212175825757e-38,1.07666436162161,0.255,0.191,1.26208236434674e-33,"1","ECHDC1",0.064
"ATP6V1G1",3.49798780754552e-37,0.258224136166302,0.253,0.498,8.58546127483972e-33,"1","ATP6V1G1",-0.245
"SSH2",4.16437133499584e-36,0.827005838776706,0.271,0.212,1.02210330046138e-31,"1","SSH2",0.059
"NSUN6",4.43160516598542e-35,0.348271660282381,0.158,0.318,1.08769317193946e-30,"1","NSUN6",-0.16
"CYTIP",2.41397165323192e-34,0.72830996613597,0.425,0.436,5.92485202569243e-30,"1","CYTIP",-0.011
"SYAP1",1.33182316369521e-33,0.970916517906489,0.354,0.331,3.26882677297353e-29,"1","SYAP1",0.023
"ATP6V0D1",4.23250001738646e-33,0.817811600042889,0.251,0.194,1.03882480426733e-28,"1","ATP6V0D1",0.057
"XRN1",1.26173190243416e-32,0.33380422056916,0.193,0.374,3.09679478133439e-28,"1","XRN1",-0.181
"IFNGR1",2.13816024567466e-32,0.786232808392914,0.285,0.236,5.24790050698389e-28,"1","IFNGR1",0.049
"LIMS1",2.73612625793334e-32,0.269768977323348,0.161,0.314,6.71554828747158e-28,"1","LIMS1",-0.153
"IGF2R",5.37018598425692e-32,0.816483201178907,0.262,0.208,1.31805844797602e-27,"1","IGF2R",0.054
"LSP1",1.9216642248832e-31,0.692186293476655,0.443,0.472,4.71653267355332e-27,"1","LSP1",-0.029
"SLC20A1",2.23149989407945e-28,0.253533100473275,0.175,0.331,5.47699334002861e-24,"1","SLC20A1",-0.156
"GBP4",7.81178538113378e-28,0.530723377968833,0.129,0.257,1.91732460394548e-23,"1","GBP4",-0.128
"CREM",1.17650227492721e-27,0.689771025533378,0.443,0.442,2.88760718358135e-23,"1","CREM",0.001
"MTPN",7.71650098634574e-27,0.260116411907515,0.226,0.419,1.8939380020887e-22,"1","MTPN",-0.193
"TAGLN2",3.38178264802429e-26,0.702283661780756,0.455,0.508,8.30024733131082e-22,"1","TAGLN2",-0.053
"EIF2AK2",5.66851597898836e-26,0.320386243177529,0.143,0.272,1.3912805618829e-21,"1","EIF2AK2",-0.129
"ADAR",7.07893218929319e-26,0.307725957800626,0.221,0.404,1.73745311654012e-21,"1","ADAR",-0.183
"RHOH",9.04102719658702e-26,1.10621586000497,0.325,0.304,2.21902971513032e-21,"1","RHOH",0.021
"PCBP1",1.74219856315231e-25,0.678621177763375,0.48,0.581,4.27605215340104e-21,"1","PCBP1",-0.101
"ACTR2",1.77597748245477e-25,0.646013655935624,0.508,0.63,4.35895913293698e-21,"1","ACTR2",-0.122
"SETX",1.9709400248552e-25,0.266761865205921,0.244,0.443,4.83747519700461e-21,"1","SETX",-0.199
"MED13L",3.01844350693966e-25,0.814831535515029,0.275,0.24,7.40846774343269e-21,"1","MED13L",0.035
"TANK",2.39532104868906e-24,0.90427790780201,0.349,0.346,5.87907598190244e-20,"1","TANK",0.003
"GPSM3",2.65999552328186e-23,0.719187715324122,0.384,0.412,6.52869301234301e-19,"1","GPSM3",-0.028
"WAC",3.0441839457621e-23,0.280511158411435,0.246,0.44,7.4716450764785e-19,"1","WAC",-0.194
"MOB1A",2.38248170116039e-21,0.273915249460877,0.238,0.419,5.84756308732805e-17,"1","MOB1A",-0.181
"STAT3",4.97669735881533e-21,0.590908553004976,0.469,0.557,1.22148059974763e-16,"1","STAT3",-0.0880000000000001
"KIAA1109",8.73429181106334e-21,0.294293730249112,0.155,0.278,2.14374458210739e-16,"1","KIAA1109",-0.123
"PRKAR1A",1.04861965753508e-20,0.728813712110979,0.364,0.383,2.57373208745411e-16,"1","PRKAR1A",-0.019
"SEC22B",2.38068038824213e-20,0.959138775922469,0.261,0.233,5.84314194490149e-16,"1","SEC22B",0.028
"TAX1BP1",3.72338879285298e-20,0.274883741366249,0.272,0.472,9.13868545317836e-16,"1","TAX1BP1",-0.2
"CSNK1D",4.1100086116234e-20,0.250689733073141,0.151,0.27,1.00876051363685e-15,"1","CSNK1D",-0.119
"MSL1",4.31556036101252e-20,0.749294168160788,0.266,0.239,1.05921113500691e-15,"1","MSL1",0.027
"TPM4",1.5816016584439e-19,0.6603564904281,0.408,0.435,3.88188311048472e-15,"1","TPM4",-0.027
"BAZ1A",1.74400046368263e-19,0.832145799794241,0.379,0.412,4.28047473806265e-15,"1","BAZ1A",-0.033
"ARID4B",7.09439082325653e-19,0.277207067254956,0.32,0.549,1.74124728366008e-14,"1","ARID4B",-0.229
"JOSD1",8.84936255126925e-19,0.750455605622347,0.392,0.435,2.17198754458352e-14,"1","JOSD1",-0.043
"SAMD9",9.52564485666898e-19,0.434403561389256,0.203,0.348,2.33797427362083e-14,"1","SAMD9",-0.145
"MIDN",1.39100689138653e-18,0.626718870834369,0.448,0.521,3.41408731421909e-14,"1","MIDN",-0.073
"FAM120A",2.13658489690791e-18,0.290910824045982,0.177,0.306,5.24403397097078e-14,"1","FAM120A",-0.129
"ZYX",3.35261385464349e-18,0.696621816215597,0.27,0.248,8.22865544483697e-14,"1","ZYX",0.022
"KMT2C",6.61873741733634e-18,0.321304587998823,0.229,0.392,1.62450291171103e-13,"1","KMT2C",-0.163
"CHMP5",9.183756491403e-18,0.315365170585832,0.156,0.271,2.25406119324995e-13,"1","CHMP5",-0.115
"PKN2",1.39438451794723e-17,0.287499277457688,0.164,0.283,3.42237736084969e-13,"1","PKN2",-0.119
"ATP6V0E1",3.14918998098998e-17,0.287838856994733,0.3,0.513,7.7293718893418e-13,"1","ATP6V0E1",-0.213
"SEMA4D",3.84499518103615e-17,0.264436636058462,0.221,0.371,9.43715617233514e-13,"1","SEMA4D",-0.15
"NOP10",4.24352918873614e-17,0.765152391716798,0.319,0.325,1.0415318040834e-12,"1","NOP10",-0.00600000000000001
"PSMB3",4.78599709109506e-17,0.257246881754674,0.19,0.321,1.17467512603837e-12,"1","PSMB3",-0.131
"RTN4",6.45404922590205e-17,0.720878885062603,0.363,0.392,1.5840818420054e-12,"1","RTN4",-0.029
"ARPC4",9.79535089056954e-17,0.302162331899747,0.221,0.378,2.40417092258139e-12,"1","ARPC4",-0.157
"ZFAND6",2.28235726643998e-16,0.264262054597056,0.149,0.255,5.60181767475029e-12,"1","ZFAND6",-0.106
"NFAT5",2.53803803414025e-16,0.365185052310919,0.194,0.324,6.22936055099383e-12,"1","NFAT5",-0.13
"ARRDC3",9.06514526781678e-16,0.392518608813781,0.201,0.334,2.22494925453295e-11,"1","ARRDC3",-0.133
"CSNK1A1",1.00324687725235e-15,0.318825652634908,0.282,0.48,2.46236913552816e-11,"1","CSNK1A1",-0.198
"MYLIP",1.1073141609755e-15,0.319415900433824,0.182,0.303,2.71779187669826e-11,"1","MYLIP",-0.121
"WIPF1",1.49316868492911e-15,0.606236299319722,0.453,0.548,3.66483322029e-11,"1","WIPF1",-0.095
"RASA2",1.62242236751923e-15,0.290527451986797,0.2,0.332,3.9820734588392e-11,"1","RASA2",-0.132
"TXNIP",2.11753579697162e-15,0.590052418724506,0.572,0.708,5.19727986008714e-11,"1","TXNIP",-0.136
"AGO2",2.43832711274291e-15,0.280806635056999,0.175,0.29,5.9846300655162e-11,"1","AGO2",-0.115
"VPS37B",3.90386111854913e-15,0.670039947127365,0.316,0.314,9.58163672936699e-11,"1","VPS37B",0.002
"ADAM10",1.36595220656137e-14,0.328866548331161,0.193,0.321,3.35259309578422e-10,"1","ADAM10",-0.128
"SPATA13",1.70414786837047e-14,0.296704525314398,0.156,0.26,4.18266052812849e-10,"1","SPATA13",-0.104
"NIPBL",2.22859733376821e-14,0.397776656962694,0.261,0.437,5.4698692960007e-10,"1","NIPBL",-0.176
"RB1CC1",2.37912053636037e-14,0.350990357461625,0.197,0.324,5.83931344444288e-10,"1","RB1CC1",-0.127
"PJA2",6.53683428931527e-14,0.346454779182954,0.221,0.366,1.60440060796954e-09,"1","PJA2",-0.145
"CAPZA2",8.99993740981782e-14,0.722334426528967,0.262,0.252,2.20894463786569e-09,"1","CAPZA2",0.01
"PIAS1",9.4864144920605e-14,0.340799069502555,0.151,0.251,2.32834557293133e-09,"1","PIAS1",-0.1
"TOP1",1.25177104309198e-13,0.368520410221358,0.26,0.428,3.07234684816495e-09,"1","TOP1",-0.168
"GRB2",2.11302101703078e-13,0.324733452089227,0.246,0.402,5.18619878420034e-09,"1","GRB2",-0.156
"ATXN1",2.14006558253604e-12,0.340465655739281,0.215,0.343,5.25257696577647e-08,"1","ATXN1",-0.128
"KAT6A",3.64807092985091e-12,0.308014478308658,0.212,0.34,8.95382529022607e-08,"1","KAT6A",-0.128
"PPP2R2A",4.31454058339455e-12,0.404110496381143,0.168,0.272,1.05896084078836e-07,"1","PPP2R2A",-0.104
"LBR",5.10310670705485e-12,0.76679679833872,0.285,0.292,1.25250651017954e-07,"1","LBR",-0.00700000000000001
"LRP10",6.45045246686009e-12,0.727045758567783,0.282,0.289,1.58319905346614e-07,"1","LRP10",-0.00700000000000001
"ANXA11",1.14640888858594e-11,0.343621308629818,0.199,0.318,2.81374597614533e-07,"1","ANXA11",-0.119
"GTPBP1",1.15016659985469e-11,0.331621170311442,0.157,0.251,2.82296890268335e-07,"1","GTPBP1",-0.094
"IRF2",1.23337365312125e-11,0.329380391705548,0.169,0.27,3.02719229422079e-07,"1","IRF2",-0.101
"RAB7A",1.25206650677391e-11,0.71023568620592,0.265,0.263,3.07307203422588e-07,"1","RAB7A",0.002
"MYL6",3.55004861972306e-11,0.276929064840872,0.64,0.838,8.71323933224828e-07,"1","MYL6",-0.198
"WTAP",9.66367325070247e-11,0.45581045599218,0.239,0.381,2.37185196265241e-06,"1","WTAP",-0.142
"ABI1",1.34748894175688e-10,0.335319978737588,0.181,0.287,3.30727685864809e-06,"1","ABI1",-0.106
"APBB1IP",1.42331274645978e-10,0.307497494500769,0.253,0.399,3.49337880491088e-06,"1","APBB1IP",-0.146
"PAG1",1.47371124840774e-10,0.438036397511151,0.218,0.339,3.61707688809195e-06,"1","PAG1",-0.121
"HCLS1",2.75509542565605e-10,0.603487477947795,0.36,0.412,6.76210621273022e-06,"1","HCLS1",-0.052
"WDR26",5.52906057154871e-10,0.374537231858655,0.198,0.31,1.35705262668092e-05,"1","WDR26",-0.112
"RICTOR",5.56147491127347e-10,0.778697980054156,0.276,0.284,1.36500840222296e-05,"1","RICTOR",-0.00799999999999995
"CAPZA1",1.25701635895342e-09,0.574984507056512,0.411,0.508,3.08522095141527e-05,"1","CAPZA1",-0.097
"TYMP",1.59739531597544e-09,0.585802536833434,0.32,0.336,3.92064706353012e-05,"1","TYMP",-0.016
"PRR13",1.92410730889714e-09,0.675085778109343,0.349,0.407,4.72252897895714e-05,"1","PRR13",-0.058
"SERP1",1.94933748432109e-09,0.319583518141361,0.363,0.596,4.78445392151768e-05,"1","SERP1",-0.233
"SAMD9L",2.10648583806923e-09,0.501728950326213,0.168,0.26,5.17015884095713e-05,"1","SAMD9L",-0.092
"CCL4",2.30923346296007e-09,0.373962183805533,0.241,0.333,5.66778261148919e-05,"1","CCL4",-0.092
"APOL6",6.64721572707614e-09,0.630653870204316,0.255,0.398,0.000163149262805357,"1","APOL6",-0.143
"PPP3CA",7.80762208838339e-09,0.352852766352808,0.188,0.288,0.000191630276537282,"1","PPP3CA",-0.1
"CIR1",9.16683646082070e-09,0.457599685295359,0.205,0.315,0.000224990834094383,"1","CIR1",-0.11
"SMAP2",1.05683411346965e-08,0.683085667422032,0.341,0.39,0.000259389364809992,"1","SMAP2",-0.049
"LASP1",1.9707219874488e-08,0.306920312913851,0.167,0.253,0.000483694004599434,"1","LASP1",-0.086
"SH3GLB1",2.16680339812346e-08,0.383929278964693,0.213,0.326,0.000531820226035422,"1","SH3GLB1",-0.113
"TAP1",2.34953044782808e-08,0.719855293516762,0.333,0.376,0.000576668753114923,"1","TAP1",-0.043
"CREBRF",4.14540839108598e-08,0.745210583892682,0.346,0.402,0.00101744903550814,"1","CREBRF",-0.056
"NIN",2.03267136684211e-07,0.37577867770934,0.195,0.289,0.00498898860277727,"1","NIN",-0.094
"GNG5",2.76859421254195e-07,0.322944253349027,0.252,0.379,0.00679523763526296,"1","GNG5",-0.127
"DOCK8",5.73174190564146e-07,0.358891901725678,0.28,0.426,0.0140679873332064,"1","DOCK8",-0.146
"RAB8B",6.76048422432826e-07,0.374021266046281,0.245,0.365,0.0165929324801913,"1","RAB8B",-0.12
"RC3H1",6.91083765981042e-07,0.389040116302028,0.182,0.269,0.0169619599522387,"1","RC3H1",-0.087
"STAG2",8.64929926540333e-07,0.389925916504376,0.259,0.393,0.0212288401170059,"1","STAG2",-0.134
"OSTF1",1.33832046567553e-06,0.374461835206077,0.194,0.288,0.0328477375095403,"1","OSTF1",-0.094
"MAPRE1",1.39805469597403e-06,0.409815207364482,0.182,0.27,0.0343138544579867,"1","MAPRE1",-0.088
"KLF10",1.44340983170257e-06,0.586030178609855,0.176,0.26,0.0354270509093079,"1","KLF10",-0.084
"OSBPL8",1.95080803222038e-06,0.689367840376834,0.329,0.386,0.047880632342817,"1","OSBPL8",-0.057
"C16orf72",1.9994531460702e-06,0.652056160026115,0.332,0.392,0.049074578017147,"1","C16orf72",-0.06
"RHOA",2.0159227605165e-06,0.482375501917129,0.454,0.598,0.0494788082341169,"1","RHOA",-0.144
"LYZ1",0,2.88809390901042,0.932,0.145,0,"2","LYZ",0.787
"APOE",0,2.84353985272488,0.388,0.023,0,"2","APOE",0.365
"CTSB",0,2.77460679414214,0.892,0.196,0,"2","CTSB",0.696
"SPP1",0,2.73783551516192,0.266,0.012,0,"2","SPP1",0.254
"EREG",0,2.58469005915599,0.431,0.007,0,"2","EREG",0.424
"CTSL",0,2.57736925263211,0.717,0.057,0,"2","CTSL",0.66
"C1QB",0,2.55682159900243,0.396,0.009,0,"2","C1QB",0.387
"AC020656.1",0,2.5441632237782,0.863,0.077,0,"2","AC020656.1",0.786
"HLA-DRA",0,2.51249866725395,0.99,0.29,0,"2","HLA-DRA",0.7
"C1QA",0,2.50233166007272,0.407,0.008,0,"2","C1QA",0.399
"CXCL10",0,2.39520430526768,0.359,0.016,0,"2","CXCL10",0.343
"APOC1",0,2.34697215209872,0.402,0.014,0,"2","APOC1",0.388
"PSAP",0,2.330100363606,0.927,0.301,0,"2","PSAP",0.626
"CST3",0,2.31471375328352,0.908,0.104,0,"2","CST3",0.804
"HLA-DRB1",0,2.22463713377786,0.956,0.337,0,"2","HLA-DRB1",0.619
"CXCL9",0,2.12456876499877,0.337,0.013,0,"2","CXCL9",0.324
"CD74",0,2.05367905793788,0.982,0.568,0,"2","CD74",0.414
"TIMP1",0,2.04986803632326,0.787,0.17,0,"2","TIMP1",0.617
"INHBA",0,2.02338712727134,0.364,0.025,0,"2","INHBA",0.339
"HLA-DQB1",0,1.99513819156931,0.888,0.189,0,"2","HLA-DQB1",0.699
"HLA-DRB5",0,1.96244068205594,0.928,0.301,0,"2","HLA-DRB5",0.627
"CCL2",0,1.93955510663834,0.359,0.018,0,"2","CCL2",0.341
"GRN",0,1.93409742274481,0.85,0.121,0,"2","GRN",0.729
"CTSZ",0,1.90864291981347,0.831,0.139,0,"2","CTSZ",0.692
"VCAN",0,1.89489117149236,0.462,0.028,0,"2","VCAN",0.434
"C1QC",0,1.89048299009227,0.375,0.003,0,"2","C1QC",0.372
"GPNMB",0,1.88374689465769,0.405,0.015,0,"2","GPNMB",0.39
"CYBB",0,1.85615797945584,0.779,0.052,0,"2","CYBB",0.727
"HLA-DPA1",0,1.84982470488146,0.92,0.325,0,"2","HLA-DPA1",0.595
"HLA-DQA1",0,1.84949984343557,0.789,0.171,0,"2","HLA-DQA1",0.618
"FTL1",0,1.79591006624955,0.995,0.891,0,"2","FTL",0.104
"FCER1G1",0,1.76117595088488,0.888,0.102,0,"2","FCER1G",0.786
"HLA-DPB1",0,1.73765348485741,0.9,0.384,0,"2","HLA-DPB1",0.516
"OLR11",0,1.73679741518711,0.641,0.045,0,"2","OLR1",0.596
"CCL3",0,1.73627909841355,0.51,0.103,0,"2","CCL3",0.407
"CXCL3",0,1.7012240931999,0.429,0.065,0,"2","CXCL3",0.364
"CXCL2",0,1.63793899489411,0.578,0.081,0,"2","CXCL2",0.497
"CTSS1",0,1.62134598584957,0.934,0.442,0,"2","CTSS",0.492
"TGFBI",0,1.61027406248188,0.715,0.031,0,"2","TGFBI",0.684
"MS4A7",0,1.58716128228495,0.695,0.007,0,"2","MS4A7",0.688
"NPC2",0,1.58019852637203,0.85,0.181,0,"2","NPC2",0.669
"MRC1",0,1.5712211997875,0.46,0.005,0,"2","MRC1",0.455
"AIF11",0,1.56088499278481,0.85,0.103,0,"2","AIF1",0.747
"MS4A6A",0,1.56036372919904,0.645,0.012,0,"2","MS4A6A",0.633
"C15orf481",0,1.54870486888552,0.768,0.092,0,"2","C15orf48",0.676
"VEGFA",0,1.54143568960801,0.719,0.092,0,"2","VEGFA",0.627
"CD163",0,1.5310725073148,0.536,0.002,0,"2","CD163",0.534
"FGL21",0,1.52814199552607,0.733,0.074,0,"2","FGL2",0.659
"ANXA5",0,1.51249016799523,0.908,0.249,0,"2","ANXA5",0.659
"LGMN",0,1.50233903513751,0.513,0.055,0,"2","LGMN",0.458
"MMP9",0,1.48244054032996,0.318,0.017,0,"2","MMP9",0.301
"HBEGF",0,1.47363280260041,0.702,0.073,0,"2","HBEGF",0.629
"CD141",0,1.4505019097691,0.665,0.047,0,"2","CD14",0.618
"FCN1",0,1.449290067603,0.401,0.01,0,"2","FCN1",0.391
"MSR1",0,1.39858601201218,0.431,0.002,0,"2","MSR1",0.429
"CPVL",0,1.3886975050058,0.622,0.005,0,"2","CPVL",0.617
"FPR3",0,1.38827771155493,0.521,0.002,0,"2","FPR3",0.519
"KCTD12",0,1.38070032831185,0.716,0.055,0,"2","KCTD12",0.661
"KYNU",0,1.3805002219977,0.682,0.02,0,"2","KYNU",0.662
"TYROBP1",0,1.37965893475307,0.923,0.2,0,"2","TYROBP",0.723
"WARS",0,1.36584875474566,0.744,0.1,0,"2","WARS",0.644
"CTSH",0,1.34213937531219,0.732,0.082,0,"2","CTSH",0.65
"CD300E",0,1.33392602140157,0.463,0.002,0,"2","CD300E",0.461
"TMEM176B",0,1.33316283088624,0.55,0.025,0,"2","TMEM176B",0.525
"KLF4",0,1.31763024986159,0.711,0.059,0,"2","KLF4",0.652
"SLC16A10",0,1.30531230783103,0.439,0.025,0,"2","SLC16A10",0.414
"CD68",0,1.2967342576114,0.7,0.039,0,"2","CD68",0.661
"ATP13A3",0,1.28854369160521,0.76,0.179,0,"2","ATP13A3",0.581
"APLP2",0,1.28814859983209,0.833,0.197,0,"2","APLP2",0.636
"ATP1B3",0,1.28283159021672,0.86,0.335,0,"2","ATP1B3",0.525
"FCGR3A1",0,1.25193202887562,0.543,0.115,0,"2","FCGR3A",0.428
"CAPG",0,1.2487064095453,0.655,0.116,0,"2","CAPG",0.539
"TYMP1",0,1.24013348156693,0.881,0.304,0,"2","TYMP",0.577
"RNASE1",0,1.23819928101146,0.251,0.016,0,"2","RNASE1",0.235
"VIM",0,1.23110940941926,0.984,0.75,0,"2","VIM",0.234
"CCDC88A",0,1.22084871068339,0.751,0.102,0,"2","CCDC88A",0.649
"PLXDC2",0,1.22036634718331,0.711,0.039,0,"2","PLXDC2",0.672
"MPEG1",0,1.2125753404883,0.612,0.017,0,"2","MPEG1",0.595
"PLIN2",0,1.20998351063967,0.659,0.183,0,"2","PLIN2",0.476
"CD86",0,1.20184773494889,0.686,0.011,0,"2","CD86",0.675
"ASAH11",0,1.20125373720998,0.778,0.19,0,"2","ASAH1",0.588
"MMP19",0,1.18183677095198,0.46,0.013,0,"2","MMP19",0.447
"CREG1",0,1.17590217590729,0.619,0.082,0,"2","CREG1",0.537
"DSE1",0,1.16831956195017,0.763,0.135,0,"2","DSE",0.628
"ABCA1",0,1.16590926972168,0.647,0.079,0,"2","ABCA1",0.568
"LGALS3",0,1.15921644609975,0.796,0.206,0,"2","LGALS3",0.59
"ACP5",0,1.1497346651231,0.45,0.067,0,"2","ACP5",0.383
"MAFB",0,1.14418479304782,0.543,0.019,0,"2","MAFB",0.524
"PLAUR1",0,1.14409646645401,0.847,0.194,0,"2","PLAUR",0.653
"PLD3",0,1.13825519954955,0.445,0.09,0,"2","PLD3",0.355
"FNIP2",0,1.132320984581,0.609,0.047,0,"2","FNIP2",0.562
"HLA-DMB",0,1.13045307238341,0.659,0.091,0,"2","HLA-DMB",0.568
"CD63",0,1.12790383659179,0.905,0.407,0,"2","CD63",0.498
"YBX3",0,1.126065747554,0.754,0.16,0,"2","YBX3",0.594
"CSF1R",0,1.08946065527857,0.575,0.002,0,"2","CSF1R",0.573
"DMXL2",0,1.08832616758654,0.645,0.046,0,"2","DMXL2",0.599
"ATF3",0,1.08420024327519,0.742,0.16,0,"2","ATF3",0.582
"LAP3",0,1.08078107514442,0.775,0.2,0,"2","LAP3",0.575
"LGALS1",0,1.07995428598656,0.897,0.309,0,"2","LGALS1",0.588
"LIMS11",0,1.07968285396781,0.835,0.264,0,"2","LIMS1",0.571
"FTH11",0,1.07209835504574,0.995,0.929,0,"2","FTH1",0.0659999999999999
"HMOX1",0,1.06846109305985,0.411,0.015,0,"2","HMOX1",0.396
"ABL2",0,1.06562344391211,0.558,0.068,0,"2","ABL2",0.49
"FCGR2A1",0,1.05516709871836,0.797,0.122,0,"2","FCGR2A",0.675
"LILRB4",0,1.05376115779388,0.534,0.002,0,"2","LILRB4",0.532
"HLA-DMA",0,1.03124140410844,0.687,0.134,0,"2","HLA-DMA",0.553
"GSN",0,1.02896266259435,0.569,0.076,0,"2","GSN",0.493
"SLC11A11",0,1.02566656469714,0.579,0.051,0,"2","SLC11A1",0.528
"FCGRT",0,1.01529077637983,0.672,0.085,0,"2","FCGRT",0.587
"EMP1",0,1.01166924719827,0.395,0.062,0,"2","EMP1",0.333
"DAB2",0,0.999141638562363,0.453,0.028,0,"2","DAB2",0.425
"RAB31",0,0.997936597227737,0.742,0.064,0,"2","RAB31",0.678
"CLEC5A",0,0.995575948843564,0.369,0.003,0,"2","CLEC5A",0.366
"EPB41L3",0,0.994665784117771,0.595,0.008,0,"2","EPB41L3",0.587
"MFSD1",0,0.99377096292359,0.639,0.075,0,"2","MFSD1",0.564
"BRI31",0,0.990904851914442,0.812,0.223,0,"2","BRI3",0.589
"TMEM176A",0,0.974619263857051,0.473,0.024,0,"2","TMEM176A",0.449
"CD83",0,0.970260721623687,0.809,0.195,0,"2","CD83",0.614
"FBP1",0,0.970152756417227,0.416,0.015,0,"2","FBP1",0.401
"PLA2G7",0,0.961558751537576,0.44,0.002,0,"2","PLA2G7",0.438
"MARCKS1",0,0.960002889304244,0.791,0.19,0,"2","MARCKS",0.601
"RETN",0,0.958737862450523,0.255,0.002,0,"2","RETN",0.253
"ALCAM",0,0.957913084122702,0.557,0.061,0,"2","ALCAM",0.496
"C5AR11",0,0.947087279972056,0.684,0.089,0,"2","C5AR1",0.595
"HEXB",0,0.94662272229425,0.597,0.089,0,"2","HEXB",0.508
"ANXA2",0,0.945812090499004,0.887,0.293,0,"2","ANXA2",0.594
