"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"RPLP1",0,0.791239326229675,0.99,0.738,0,"0","RPLP1",0.252
"CD6",0,0.786586596580451,0.348,0.038,0,"0","CD6",0.31
"RPS25",0,0.783524986916185,0.954,0.657,0,"0","RPS25",0.297
"SLC38A1",0,0.783411404330437,0.526,0.215,0,"0","SLC38A1",0.311
"RPS21",0,0.782760175617321,0.951,0.62,0,"0","RPS21",0.331
"LINC01871",0,0.782017982812224,0.271,0.042,0,"0","LINC01871",0.229
"RPL9",0,0.778615083731114,0.958,0.669,0,"0","RPL9",0.289
"RUNX3",0,0.773369171125025,0.538,0.235,0,"0","RUNX3",0.303
"IKZF3",0,0.771741661779476,0.497,0.185,0,"0","IKZF3",0.312
"TRGC2",0,0.771659556900646,0.275,0.034,0,"0","TRGC2",0.241
"ATM",0,0.770263384235916,0.555,0.29,0,"0","ATM",0.265
"CNOT6L",0,0.768302518525837,0.515,0.27,0,"0","CNOT6L",0.245
"RPL35A",0,0.767679080796575,0.959,0.635,0,"0","RPL35A",0.324
"RPL41",0,0.763225210308584,0.991,0.807,0,"0","RPL41",0.184
"RPS18",0,0.760710987235404,0.982,0.664,0,"0","RPS18",0.318
"RPL24",0,0.759990469632765,0.945,0.632,0,"0","RPL24",0.313
"ITM2A",0,0.759767422467635,0.36,0.077,0,"0","ITM2A",0.283
"RPL11",0,0.759032605694318,0.972,0.656,0,"0","RPL11",0.316
"LINC00861",0,0.75777598074336,0.287,0.015,0,"0","LINC00861",0.272
"INTS6",0,0.756742154275834,0.68,0.486,0,"0","INTS6",0.194
"ZFP36L2",0,0.755704854796512,0.854,0.576,0,"0","ZFP36L2",0.278
"NKTR",0,0.755082491999679,0.614,0.361,0,"0","NKTR",0.253
"RPS24",0,0.754630039245112,0.975,0.685,0,"0","RPS24",0.29
"TCF7",0,0.752164560097648,0.367,0.109,0,"0","TCF7",0.258
"AC243960.1",0,0.745878298356219,0.297,0.055,0,"0","AC243960.1",0.242
"TIGIT",0,0.743833838946173,0.253,0.042,0,"0","TIGIT",0.211
"LEPROTL1",0,0.737175953684832,0.489,0.237,0,"0","LEPROTL1",0.252
"RPL6",0,0.736509395598308,0.95,0.624,0,"0","RPL6",0.326
"LBH",0,0.734558523212639,0.439,0.147,0,"0","LBH",0.292
"RPS28",0,0.733977100684509,0.978,0.677,0,"0","RPS28",0.301
"CD48",0,0.732060335874336,0.727,0.343,0,"0","CD48",0.384
"RPS23",0,0.730040832824697,0.967,0.629,0,"0","RPS23",0.338
"ITGAL",0,0.722863306875307,0.421,0.132,0,"0","ITGAL",0.289
"RPL5",0,0.719999207744884,0.923,0.6,0,"0","RPL5",0.323
"RPS15",0,0.717038753535926,0.967,0.652,0,"0","RPS15",0.315
"RPL10A",0,0.716802972844508,0.915,0.587,0,"0","RPL10A",0.328
"RPLP2",0,0.71520982585963,0.972,0.656,0,"0","RPLP2",0.316
"RPL27A",0,0.710419760368773,0.971,0.661,0,"0","RPL27A",0.31
"RPS4X",0,0.708932404614085,0.951,0.624,0,"0","RPS4X",0.327
"EMB",0,0.707742317296856,0.539,0.216,0,"0","EMB",0.323
"PDCD4",0,0.707204372881532,0.625,0.337,0,"0","PDCD4",0.288
